"","SRA.accession","organism","percent","detected","source","collection.date","location","library_strategy","library_source","sample_name","bioproject","total_detected_targets","processed"
"32","SRR37356568","Rotavirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"33","SRR37356568","Parvovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"34","SRR37356568","Enterovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"35","SRR37356568","Astrovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"36","SRR37356568","Poliovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"37","SRR37356568","Sapovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"38","SRR37356568","Adenovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"39","SRR37356568","Morbillivirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"40","SRR37356568","Unclassified",100,1,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl476498-EEn8","PRJNA1427925",0,"True"
"41","SRR37356569","Norovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"42","SRR37356569","Rotavirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"43","SRR37356569","Parvovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"44","SRR37356569","Enterovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"45","SRR37356569","Astrovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"46","SRR37356569","Poliovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"47","SRR37356569","Sapovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"48","SRR37356569","Adenovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"49","SRR37356569","Morbillivirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
"50","SRR37356569","Unclassified",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl466880-EEn2","PRJNA1427925",0,"False"
