SRA accession,source,collection date,location,library_strategy,library_source,sample_name,bioproject,Norovirus,Norovirus_pct,Norovirus_detected,Rotavirus,Rotavirus_pct,Rotavirus_detected,Parvovirus,Parvovirus_pct,Parvovirus_detected,Enterovirus,Enterovirus_pct,Enterovirus_detected,Astrovirus,Astrovirus_pct,Astrovirus_detected,Poliovirus,Poliovirus_pct,Poliovirus_detected,Sapovirus,Sapovirus_pct,Sapovirus_detected,Adenovirus,Adenovirus_pct,Adenovirus_detected,Morbillivirus,Morbillivirus_pct,Morbillivirus_detected,Unclassified,Unclassified_pct,Unclassified_detected,total_detected_targets,processed
SRR37356564,raw sewage,2019-09-09,USA: Washington D.C.,WGS,GENOMIC,vB_Ecl32345-EEn35,PRJNA1427925,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,100.0;0;unclassified,100.0,1,0,True
SRR37356566,raw sewage,2019-09-09,USA: Washington D.C.,WGS,GENOMIC,vB_Ecl420170-EEn26,PRJNA1427925,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,100.0;0;unclassified,100.0,1,0,True
SRR37356567,raw sewage,2019-09-09,USA: Washington D.C.,WGS,GENOMIC,vB_Ecl420170-EEn25,PRJNA1427925,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,100.0;0;unclassified,100.0,1,0,True
SRR37356568,raw sewage,2019-09-09,USA: Washington D.C.,WGS,GENOMIC,vB_Ecl476498-EEn8,PRJNA1427925,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,100.0;0;unclassified,100.0,1,0,True
SRR37356569,raw sewage,2019-09-09,USA: Washington D.C.,WGS,GENOMIC,vB_Ecl466880-EEn2,PRJNA1427925,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,False
